Run Name,Start Time (ns),End Time (ns),Distance to Obstacle (cm)
ET1,1614236154237700000,1614236157765000000,1.0
ET2,1614236320702120000,1614236322852270000,26.5
ET3,1614236885747570000,1614236888923480000,13.0
ET4,1614236966501180000,1614236969488120000,8.0
ET5,1614237040814570000,1614237043677920000,5.5
ET6,0,0,0.0
ET7,1614237271207880000,1614237273813440000,15.0
ET8,1614237350562450000,1614237353664920000,6.0
ET9,1614237436643720000,1614237438836510000,21.0
ET10,1614237532994080000,1614237536251780000,4.5
ST1,1614244371573370000,1614244374022110000,18.0
ST2,1614244459525370000,1614244461711130000,17.0
ST3,1614244537906580000,1614244540640910000,18.0
ST4,1614244626616600000,1614244628879300000,28.0
ST5,0,0,0.0
ST6,1614244826272750000,1614244828009320000,44.0
ST7,1614244914789440000,1614244916998530000,28.0
ST8,1614244995341350000,1614244997833800000,21.0
ST9,0,0,0.0
ST10,1614245202524670000,1614245205111350000,19.0
HT1,1614243341562960000,1614243345323520000,8.0
HT2,1614243425246260000,1614243428008180000,8.0
HT3,1614243530057010000,1614243531988380000,29.0
HT4,0,0,0.0
HT5,1614243724434740000,1614243727641350000,6.0
HT6,1614243816764090000,1614243819186760000,5.0
HT7,0,0,0.0
HT8,1614244037266670000,1614244040399510000,2.0
HT9,1614244126153080000,1614244129292390000,1.0
HT10,1614244216572460000,1614244219280490000,8.0
RC1,1614245391422320000,1614245394414670000,14.0
RC2,1614245506721350000,1614245509706120000,11.5
RC3,1614247565664010000,1614247567395290000,31.0
RC4,16142,16142,65.0
RC5,16142,16142,67.0
RC6,1614247863574350000,1614247865440200000,30.0
RC7,1614247965166640000,1614247966183570000,42.0
RC8,1614248042433540000,1614248042981310000,47.0
RC9,1614248169670830000,1614248171151300000,29.0
RC10,1614248265411990000,1614248265650100000,32.0
